Blog	did	order	aren	online	getting	feel	security	team	wrote	blog	post	after	huge	data	using	those	access	hear	am	march	until	around	mostly	process	our	had	service	most	ways	build	based	best	think	answer	seems	enough	many	us	company	off	run	building	social	part	why	job	latest	episode	podcast	google	tech	her	search	report	feature	were	network	both	link	several	links	between	design	looking	single	called	line	stop	top	down	look	similar	comes	thinking	doing	yourself	person	who	work	details	ll	then	probably	know	someone	keep	working	other	gets	check	great	needs	always	case	place	long	call	super	world	self	care	bad	worst	ever	question	myself	almost	he	d	remember	good	things	let	sound	made	seen	need	subscription	money	less	david	making	fun	give	me	something	important	because	own	point	actually	including	while	issue	old	white	should	fact	local	take	does	cost	example	public	under	isn	often	rest	country	them	also	too	story	idea	against	state	his	twitter	com	mdash	america	york	times	love	little	away	where	said	its	name	these	show	through	day	real	takes	readers	make	possible	free	morning	late	night	monday	friend	book	women	helped	wasn	another	again	whether	could	back	deal	along	never	problem	being	within	week	without	full	companies	member	every	price	technology	instead	means	find	hard	try	short	really	kids	m	sure	home	play	next	year	built	going	trump	done	few	months	ago	didn	any	power	trying	right	thing	use	would	vote	lost	course	makes	sense	want	much	put	lot	bit	different	party	likely	especially	current	president	over	well	says	follow	american	posts	inside	million	three	users	asked	open	account	email	number	information	still	cars	ready	market	support	may	last	life	here	list	stuff	everything	high	easy	nothing	appeared	him	global	weekend	drive	friends	recently	share	favorite	man	two	only	used	see	anything	father	six	days	left	others	however	once	help	product	else	photos	art	giving	four	five	must	star	mark	media	experience	nbsp	doesn	matter	early	haven	fast	soon	customers	set	second	yet	type	machine	ve	turned	true	though	app	went	live	apps	games	past	future	news	together	website	site	start	later	across	read	web	group	b	each	goes	same	reading	browser	via	very	thanks	took	create	add	store	user	way	anyone	happens	yesterday	smart	living	changing	perhaps	small	images	results	wrong	click	maybe	come	side	simple	already	photo	change	game	needed	years	seem	complete	street	view	go	update	sale	before	tuesday	sometimes	health	found	watch	during	month	april	half	page	products	space	donald	national	ai	better	computer	able	big	got	say	buy	shows	might	step	business	weeks	series	deals	usually	amazon	available	police	according	pay	major	least	billion	announced	worth	copyright	law	internet	final	european	ios	apple	tv	download	c	talking	bring	finally	p	pro	far	season	event	content	model	she	learning	issues	college	science	language	music	systems	ceo	child	government	digital	u	hope	continue	ideas	key	project	industry	whole	learn	helping	end	having	decade	tools	cover	finding	stay	mobile	house	gmail	changed	emails	itself	started	easier	version	successful	told	original	published	reader	such	stories	entire	video	places	review	creative	mean	community	th	amp	enjoy	school	behind	known	youtube	article	wanted	become	articles	tell	move	special	spent	hours	personal	everyone	teach	minutes	image	difference	water	happening	since	released	family	recent	loved	large	paper	word	office	young	talk	thought	attention	system	reasons	turn	write	level	writing	won	e	rules	head	interesting	pretty	walking	camera	kind	john	facebook	please	saying	happened	paying	writers	robert	legal	friday
Latest from Crooks and Liars	2	0	0	0	0	0	1	0	0	0	1	5	0	0	1	3	0	0	1	4	0	2	0	0	2	5	1	0	0	0	0	0	3	1	0	1	0	2	0	4	0	0	0	0	3	0	0	0	0	0	0	1	0	4	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	4	1	1	2	0	1	0	0	9	0	0	0	2	0	1	0	0	0	2	0	0	1	1	1	6	1	0	0	0	0	0	7	0	0	3	0	0	2	10	0	0	0	0	2	0	3	1	1	0	0	0	0	2	0	1	3	0	0	3	0	0	0	2	1	0	1	2	7	0	0	2	2	0	0	0	1	2	0	0	0	2	1	0	1	1	3	3	17	2	1	4	3	0	2	0	0	3	2	18	1	1	1	0	0	5	1	1	1	1	0	0	4	1	1	4	0	0	0	0	0	3	6	0	2	1	1	1	2	0	1	1	1	1	0	0	2	3	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	2	0	5	27	1	0	0	0	1	3	1	2	2	0	2	4	0	0	2	1	0	3	0	0	1	0	0	8	0	0	0	4	6	1	3	0	0	0	0	1	0	0	2	0	0	2	0	0	5	0	0	0	1	1	1	0	2	2	0	0	3	0	0	0	6	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	4	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	1	0	0	0	3	0	0	0	1	1	2	0	0	1	0	0	0	8	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	4	0	0	1	0	1	1	2	1	0	0	3	3	0	5	1	1	3	2	0	0	1	0	0	5	1	0	2	0	0	4	2	4	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	2	1	1	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	2	1	0
Deadspin	1	0	0	2	0	0	0	2	0	0	0	3	2	1	0	2	0	0	1	2	2	1	1	0	0	0	0	1	0	1	0	5	0	0	1	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	3	0	0	1	2	3	1	0	0	0	1	1	0	3	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	2	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	3	0	0	3	0	1	2	0	0	1	3	0	1	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	3	0	7	0	0	0	0	2	1	0	0	2	1	0	1	3	3	0	1	1	0	0	0	1	1	5	0	2	1	2	0	0	1	0	0	3	1	0	1	0	0	0	0	0	1	0	2	2	3	0	0	0	5	0	1	0	2	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	3	0	1	1	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	2	0	4	0	0	1	0	0	3	0	0	0	0	1	0	0	3	1	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	4	3	1	0	2	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	3	1	0	0	3	0	1	3	0	4	0	0	2	1	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	1	1	2	0	0	0	2	1	1	1	1	0	0	1	0	0	0	0	0	0	2	1	1	2	0	0	0	0	2	1	5	2	2	2	1	1	2	0	0	0	1	0	0	0	1	0	0	0	3	0	0	1	3	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	1	0	0	0	1	0	0	0	3	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1
Engadget RSS Feed	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2	4	0	0	0	2	0	1	0	0	0	2	2	8	2	0	1	2	1	1	0	5	1	0	6	4	0	3	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	3	0	0	3	1	0	0	1	1	0	0	1	0	1	0	1	2	0	0	0	0	1	0	0	1	1	0	1	1	0	4	0	1	0	1	0	0	0	0	0	0	1	0	1	1	4	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	3	0	21	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	3	2	0	0	0	0	0	2	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	2	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	4	0	0	0	1	1	0	0	1	2	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	1	0	3	0	2	0	3	1	1	12	0	0	1	1	0	1	0	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	1	6	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	3	0	0	0	2	0	1	0	0	1	2	4	0	3	1	0	5	1	3	12	2	0	0	0	2	1	7	3	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0
Gothamist	1	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	5	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	2	3	1	0	2	2	0	0	0	0	0	1	6	0	5	1	2	0	0	0	1	4	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	15	1	0	0	0	1	5	0	1	0	1	0	5	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	6	0	0	1	1	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	4	0	0	0	1	4	0	7	2	0	0	1	0	0	0	0	2	1	0	0	0	3	1	0	0	1	0	2	6	7	0	0	3	0	3	2	0	2	2	1	1	2	1	1	0	2	3	1	0	0	1	0	0	2	0	1	4	0	0	1	0	0	1	2	1	3	0	0	1	0	0	2	0	6	2	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	2	0	8	0	0	7	2	0	1	0	0	0	2	1	0	2	0	3	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	5	4	1	5	0	0	0	2	3	0	0	0	0	0	0	0	0	2	2	3	1	0	1	5	0	1	0	1	0	1	0	1	0	3	0	2	0	1	0	0	0	13	3	2	0	0	0	2	2	1	0	1	0	4	2	0	1	1	0	0	1	0	0	1	0	0	0	6	0	0	3	0	0	4	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	2	0	1	0	0	0	0	3	0	0	2	0	2	1	0	0	0	0	1	3	1	7	3	0	0	2	0	0	2	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	6	4	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	5	3	0	0	0	4	1	0	0	4	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	2	2	1	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	1	0	3	0	3
Joel on Software	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Kotaku	1	0	0	2	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1	1	1	0	3	1	1	0	0	0	0	2	5	2	0	0	0	1	0	1	1	2	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	5	1	1	1	0	2	1	0	0	0	0	0	0	3	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	1	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	5	1	2	0	0	0	0	1	1	1	1	0	0	3	1	0	1	0	1	0	0	0	0	0	0	1	0	2	2	1	0	0	0	1	2	1	0	1	1	5	2	0	0	1	0	0	0	0	1	0	2	0	0	1	2	0	0	1	0	0	0	3	1	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	3	0	4	0	0	0	0	0	0	2	2	0	21	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	1	0	0	2	0	2	0	2	2	0	0	0	1	0	3	0	0	0	2	0	0	1	1	0	0	2	1	2	3	0	0	0	0	2	2	3	0	2	1	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	2	1	0	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	2	0	2	0	0	2	1	2	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
kottke.org	9	2	2	1	2	7	0	5	4	0	2	8	1	3	7	6	1	3	3	1	0	8	1	1	10	26	2	16	2	0	1	5	3	1	2	3	12	9	2	6	4	1	9	7	5	3	2	6	1	0	0	17	2	1	0	14	0	7	4	2	0	5	6	0	4	6	2	2	0	1	4	3	5	2	3	4	4	16	12	3	4	6	1	10	1	7	3	12	3	1	6	0	7	4	4	6	3	2	13	3	1	2	0	13	1	0	8	48	3	4	2	8	7	2	12	5	1	0	4	8	2	1	1	3	8	3	4	10	9	6	3	3	3	0	8	3	3	1	0	5	2	0	6	10	1	0	4	4	1	18	21	6	6	4	2	2	47	4	4	1	4	1	7	1	3	7	12	5	14	1	11	9	18	12	9	2	1	10	3	6	3	0	1	0	1	15	5	1	0	2	4	2	9	12	0	2	6	1	11	1	5	5	8	2	0	14	1	3	2	3	6	0	2	4	7	3	6	0	4	2	3	5	1	10	0	2	4	0	6	1	7	3	4	4	6	6	10	0	3	1	0	1	3	12	1	4	2	5	3	3	5	1	0	7	5	3	2	3	0	2	1	12	0	1	7	5	0	7	1	7	1	0	4	1	4	6	16	15	2	1	3	1	1	3	2	19	0	0	0	2	2	2	3	5	9	18	5	6	1	2	1	5	3	0	2	6	2	1	3	0	11	1	0	0	1	2	2	3	2	306	4	1	2	3	2	2	1	4	2	5	3	2	13	2	3	2	0	2	2	0	1	1	1	5	2	0	4	2	2	1	4	0	4	0	9	2	16	1	0	12	15	2	2	2	0	0	0	13	1	0	0	0	5	2	2	1	2	1	1	1	2	9	2	2	2	3	3	7	0	20	0	1	0	1	7	2	0	5	0	2	3	5	3	2	1	0	4	1	2	4	2	0	0	7	2	3	0	2	7	0	6	4	0	3	0	3	0	1	1	5	0	3	2	1	2	0	0	1	0	0	2	2	3	0	0	5	3	2	2	2	0	4	1	4	0	1	0	1	14	2	0	4	5	2	5	0	0	5	0	0	1	3	2	2	1	3	0	2	6	0	7	1	1	0	0	3	1	0	1	0	1	0	2	0	1	2	0	1	4	3	0	4	8	2	31	1	1	0	0	4	6	0	0	3	3	5	1	2	1	3	1	1	2	1	1	2	0	3	2	5	2	2	0	3	4	0	3	4	0	5	3	1	0	7	4	1	3	3	2	0	7	3	8	1	2	2	2	1	2	3	1	3	6	2	0	0	0	4	5	1	2	0
Lifehack - Feed	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	4	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	4	0	1	0	0	3	0	0	0	0	1	0	1	0	2	2	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	10	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	7	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lifehacker	0	0	0	1	0	0	0	1	1	2	2	2	1	0	1	0	0	0	1	1	1	1	0	1	0	4	1	0	0	1	0	4	2	0	0	0	1	2	0	3	0	1	0	0	4	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	0	1	3	0	1	0	0	1	1	1	5	0	0	0	2	0	1	4	0	2	0	2	0	1	0	2	0	0	4	1	0	0	0	0	3	1	1	4	4	1	0	1	0	2	1	0	0	0	2	0	0	4	1	0	2	1	0	2	2	0	0	0	0	2	1	1	1	0	0	0	2	1	1	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	2	2	0	1	0	1	1	3	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	4	0	1	0	0	0	1	3	0	1	0	1	2	0	1	0	1	0	0	1	1	0	0	0	3	0	1	0	1	6	0	0	0	0	0	1	0	0	0	0	3	0	0	1	1	0	1	1	0	3	0	0	0	0	1	0	1	1	0	1	1	2	0	0	0	0	0	0	1	1	0	0	0	2	0	3	0	1	1	0	0	0	0	1	0	0	0	2	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	1	0	0	1	3	3	2	0	4	0	1	1	1	0	0	0	0	2	0	1	1	0	1	2	0	0	26	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	2	2	2	2	2	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	3	0	3	2	1	6	2	2	3	1	0	1	0	1	0	0	0	0	0	1	0	0	3	6	0	1	0	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	1	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	0	1	2	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	1	7	0	0	0	0	0	1	0	1	0	0	0	7	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	2	1	1	4	0	0	1	0	1	1	1	0	1	0	0	0	0	2	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	4	0	1	0	0	0	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
